,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,3-3,3-4,4-1,4-2,4-3,4-4,5-1,5-2,5-3,5-4,6-1,6-2,6-3,6-4,7-1,7-2,7-3,7-4,8-1,8-2,8-3,8-4,9-1,9-2,9-3,9-4,10-1,10-2,10-3,10-4
0,776,776,776,776,816,816,816,816,856,856,856,856,896,896,896,896,936,936,936,936,980,980,980,980,1020,1020,1020,1020,1060,1060,1060,1060,1100,1100,1100,1100,1140,1140,1140,1140
1,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928,1048,1008,968,928
